name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9225.5,,,,,,,,,,9601.5,,,,,10602.9,,,11255.1,,11777.6,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11782.7,,,,,,,,,,12970.3,,,,,13749.5,,,8517.4,,9772.4,,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83992.6,,,,,,,,,,66941.3,,,,,78230.5,,,76509.9,,79130.7,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3553.5,,,,,,,,,,4581.7,,,,,5251.3,,,4941.9,,4988.2,,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20285.8,,,,,,,,,,21206.1,,,,,22316.9,,,23063.9,,23512.1,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30114.7,,,,,,,,,,24286.4,,,,,21296.1,,,20464.6,,20268.9,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26680.5,,,,,,,,,,26569.9,,,,,27504.5,,,27566,,28133,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4811.3,,,,,,,,,,5565.7,,,,,6045,,,6199.5,,6361.4,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65137.4,,,,,,,,,,82588.8,,,,,84122.4,,,95807.7,,88021.4,,,,,
North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711214.1,,,,,,,,,,654143.6,,,,,642472,,,651533.6,,629187.9,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14121.9,,,,,,,,,,17151.7,,,,,16896.9,,,17172.7,,17148,,,,,
Not classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1779426.9,,,,,,,,,,1631423.5,,,,,1579320.8,,,1581192.4,,1561612.9,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6152.9,,,,,,,,,,10326.3,,,,,14546.1,,,15614.3,,16527.2,,,,,
Other small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13106,,,,,,,,,,12604.9,,,,,14207.3,,,14065.2,,13166.7,,,,,
Pacific island small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90807,,,,,,,,,,117128.8,,,,,138670.9,,,150643.8,,155236.3,,,,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
