name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1854.412995,,,,,,,,,,,,,,3126.984661,3432.335389,3768.152755,3922.174429,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,,,,,,,,,,,,2611.209622,2666.514152,2769.240097,2785.951925,2925.683625,3055.991198,3195.305988,3347.35222,3407.4863,3403.123675,3263.071148,3337.527645,3320.967922,3291.373444,3366.213173,3433.730485,3516.414535,3497.115076,3371.980244,3085.279418,2829.150114,2619.561583,2601.980646,2496.179189,2600.712875,2691.091746,2634.345216,2516.146558,2391.097528,2376.650315,2450.819777,2477.875612,2562.781396,2570.513678,2607.178945,2681.064171,2688.814275,2697.283685,2518.252699,2627.414484,2634.834852,2560.362696,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,893.4842083,891.2738674,842.6854672,822.934091,732.421005,763.5566928,779.391621,795.2282479,828.6634078,843.697271,844.6174546,763.2012246,777.4950335,805.6861912,791.3954539,813.7518537,826.2607967,919.8902718,1014.227569,1066.063439,1072.711553,1141.81007,1152.218544,1220.283973,1292.220593,1411.224491,1558.785246,1592.832903,1670.699692,1659.005469,1608.068813,1644.791546,1642.374267,1728.854664,1761.569902,1812.867574,1859.685358,1821.593253,1753.785764,1812.689803,1957.666468,2140.067793,2179.420344,,
China,,,,,,,,,,,,465.5199113,477.6632519,484.2497449,486.6137535,527.9734492,537.580178,577.6567669,617.5234348,619.4519017,609.7829062,597.5160174,607.1333839,622.2564521,651.3542758,658.0778381,671.4533798,694.6917517,720.5416592,724.3700299,766.9913406,736.8501851,752.6279775,788.1282127,816.1620904,866.8757502,881.6906755,871.9409922,869.5465165,878.6384822,919.7780287,933.1261627,979.2495197,1108.005537,1265.246005,1362.008138,1478.958036,1551.4299,1601.030877,1717.269607,1888.641718,2043.638808,2142.811573,,,
Colombia,,,,,,,,,,,,612.5836879,598.9752883,589.071535,610.1127139,623.4821395,633.8094172,638.0254347,621.0848303,592.8004526,638.3330681,632.0406738,635.4328936,641.6208578,648.6847713,644.5852057,687.1890174,696.0663928,702.9328381,694.9587446,706.7843681,701.2889222,704.3547985,723.8384016,736.6056804,737.105543,743.0337007,709.8217022,732.1955396,645.1744895,638.8858082,627.1794158,606.2667206,610.4943599,608.5252893,625.6974254,649.3758609,637.5107615,659.610246,676.0428574,679.5303665,673.4343113,673.8293098,,,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.989372,,,,,,,,,,,,,,56.30360227,59.80938587,66.26549745,63.13481284,,,,,,,,
"Congo, the Democratic Republic of the",,,,,,,,,,,,324.8016801,324.3935561,326.9043591,326.9022159,326.2055844,322.0561007,322.7590738,322.3771674,327.1787493,321.2025371,328.3183258,320.5932612,332.9844761,341.0157742,331.9268724,329.2934277,333.0318663,335.1220856,332.7302185,337.4552051,325.3337191,318.353444,312.0783936,301.7755534,304.2827761,305.6298657,303.0916744,303.1005621,297.48515,289.9318491,291.1644853,292.272548,293.763315,295.8469281,297.5750949,298.937332,299.8333497,300.9702848,300.0973747,301.2750689,309.8633145,292.443744,,,
Congo,,,,,,,,,,,,369.5131991,371.1168494,363.7589375,359.6636819,355.3340195,377.8281277,349.0891714,352.2347879,341.8698307,343.9962968,344.3452081,355.0978648,383.5350346,361.5270673,366.4001789,350.6038891,347.1817433,325.584664,331.0350318,325.025236,325.1883067,317.4685982,312.8238186,274.9131686,284.8357591,271.1864467,252.1253547,246.2869254,233.675872,261.8535096,277.5014032,266.8018068,300.2178556,299.5971977,310.0857358,321.4971446,327.3435576,331.0573473,361.4017565,375.2562051,401.3915237,399.8240394,,,
Costa Rica,,,,,,,,,,,,425.0576548,442.4446649,469.5922924,447.9893233,473.4086326,465.4263181,528.1658466,556.9200314,560.4433388,525.23805,480.1797136,455.8229674,436.5527744,460.9504123,462.6154344,472.8338521,491.4950627,491.2319667,533.4521604,541.9154559,560.5305238,705.4876755,701.8672525,674.413228,668.7818737,656.1835421,647.0037812,632.7649349,683.044125,732.039384,722.7336869,756.3983926,799.1645601,926.6324006,909.8196426,970.5151562,1031.8087,1035.316805,1016.204272,1022.201087,1011.866787,1015.736715,,,
